query	target	evalue	pident	bitscore	qlen	qstart	qend	slen	sstart	send	qcov	scov	bidir_cov_min	reaches_end	q_specificity	s_specificity	q_source	s_source	specificity_match	source_pair	pident_frac
YP_009302756_1_K1	REC_005_PROTEIN_56_KL1	0.0	95.238	1274.0	651	1	651	651	1	651	1.0	1.0	1.0	True	KL1	KL1	virulent	virulent	True	virulent-virulent	0.95238
454_56	KPN_B20_PHAGE026_M_PROTEIN_2	0.0	88.746	1255.0	826	125	826	762	63	762	0.8498789346246973	0.9186351706036745	0.8498789346246973	True	KL14	KL14	prophage_notproduced	prediction	True	other	0.8874599999999999
454_56	453_72	0.0	88.177	1247.0	826	125	826	762	63	762	0.8498789346246973	0.9186351706036745	0.8498789346246973	True	KL14	KL14	prophage_notproduced	prophage_notproduced	True	other	0.88177
1248_57	1409_59	0.0	90.794	1175.0	704	78	704	852	228	852	0.890625	0.7335680751173709	0.7335680751173709	True	KL23	KL23	prophage	prophage	True	prophage-prophage	0.90794
1409_59	1441_47	0.0	89.841	1167.0	852	228	852	704	78	704	0.7335680751173709	0.890625	0.7335680751173709	True	KL23	KL23	prophage	prophage	True	prophage-prophage	0.8984099999999999
REC_015_PROTEIN_54_KL2	APZ82768_1_K13/K2	0.0	98.614	1164.0	577	1	577	577	1	577	1.0	1.0	1.0	True	KL2	KL13/K2	virulent	virulent	True	virulent-virulent	0.98614
QJI52632_K13/K2	REC_015_PROTEIN_54_KL2	0.0	97.574	1154.0	577	1	577	577	1	577	1.0	1.0	1.0	True	KL13/K2	KL2	virulent	virulent	True	virulent-virulent	0.9757399999999999
QJI52632_K13/K2	APZ82768_1_K13/K2	0.0	97.227	1148.0	577	1	577	577	1	577	1.0	1.0	1.0	True	KL13/K2	KL13/K2	virulent	virulent	True	virulent-virulent	0.9722700000000001
873_60	1248_57	0.0	100.0	1145.0	554	1	554	704	151	704	1.0	0.7869318181818182	0.7869318181818182	True	KL28	KL23	prophage_notproduced	prophage	False	prophage_notproduced	1.0
1409_59	1921_77	0.0	87.302	1142.0	852	228	852	701	75	701	0.7335680751173709	0.8944365192582026	0.7335680751173709	True	KL23	KL9	prophage	prophage_notproduced	False	prophage_notproduced	0.87302
1409_59	873_60	0.0	98.736	1139.0	852	299	852	554	1	554	0.6502347417840375	1.0	0.6502347417840375	True	KL23	KL28	prophage	prophage_notproduced	False	prophage_notproduced	0.98736
1057_41	KPN_B3_PHAGE052_L_PROTEIN_120	0.0	95.13	1135.0	578	4	578	574	1	574	0.9948096885813149	1.0	0.9948096885813149	True	KL25	KL25	prophage_notproduced	prediction	True	other	0.9512999999999999
1441_47	873_60	0.0	98.195	1131.0	704	151	704	554	1	554	0.7869318181818182	1.0	0.7869318181818182	True	KL23	KL28	prophage	prophage_notproduced	False	prophage_notproduced	0.9819499999999999
1409_62	876_57	0.0	100.0	1126.0	550	1	550	850	301	850	1.0	0.6470588235294118	0.6470588235294118	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	1.0
1344_72	1406_54	0.0	82.148	1119.0	698	15	698	695	12	695	0.9799426934097422	0.9841726618705036	0.9799426934097422	True	KL64	KL28	prophage_notproduced	prophage_notproduced	False	other	0.82148
1406_54	876_57	0.0	88.217	1115.0	695	75	695	850	228	850	0.8935251798561151	0.7329411764705882	0.7329411764705882	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.88217
KPN_B13_PHAGE067_M_PROTEIN_74	1406_54	0.0	81.858	1112.0	698	15	698	695	12	695	0.9799426934097422	0.9841726618705036	0.9799426934097422	True	KL28	KL28	prediction	prophage_notproduced	True	other	0.8185800000000001
873_60	1921_77	0.0	95.307	1107.0	554	1	554	701	148	701	1.0	0.7902995720399429	0.7902995720399429	True	KL28	KL9	prophage_notproduced	prophage_notproduced	False	other	0.95307
ATI16495_1_K57	QTH79846_1_K57	0.0	89.347	1086.0	721	147	721	614	32	613	0.79750346740638	0.9478827361563518	0.79750346740638	True	KL57	KL57	virulent	virulent	True	virulent-virulent	0.89347
914_77	321_71	0.0	99.067	1084.0	536	1	536	690	155	690	1.0	0.7768115942028986	0.7768115942028986	True	KL32	KL127	prophage	prophage_notproduced	False	prophage_notproduced	0.9906699999999999
1406_54	1409_62	0.0	95.818	1078.0	695	150	695	550	1	550	0.7856115107913669	1.0	0.7856115107913669	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.95818
1668_49	KPN_B4_PHAGE180_M_PROTEIN_15	0.0	72.269	1077.0	702	1	702	707	1	707	1.0	1.0	1.0	True	KL2	KL24	prophage_notproduced	prediction	False	other	0.72269
KVV_B3_PHAGE102_M_PROTEIN_79	1724_71	0.0	78.495	1071.0	652	1	651	843	192	842	0.9984662576687117	0.7722419928825622	0.7722419928825622	True	KL60	KL60	prediction	prophage	True	prediction	0.78495
1406_54	1248_60	0.0	93.956	1070.0	695	150	695	546	1	546	0.7856115107913669	1.0	0.7856115107913669	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.9395600000000001
876_57	1344_72	0.0	84.261	1068.0	850	223	850	698	77	698	0.7388235294117647	0.8911174785100286	0.7388235294117647	True	KL28	KL64	prophage_notproduced	prophage_notproduced	False	other	0.84261
KVV_B3_PHAGE102_M_PROTEIN_79	1723_59	0.0	78.221	1066.0	652	1	652	951	300	951	1.0	0.6855941114616193	0.6855941114616193	True	KL60	KL60	prediction	prophage	True	prediction	0.7822100000000001
876_57	KPN_B13_PHAGE067_M_PROTEIN_74	0.0	84.261	1061.0	850	223	850	698	77	698	0.7388235294117647	0.8911174785100286	0.7388235294117647	True	KL28	KL28	prophage_notproduced	prediction	True	other	0.84261
1344_72	1248_60	0.0	92.857	1060.0	698	153	698	546	1	546	0.7822349570200573	1.0	0.7822349570200573	True	KL64	KL28	prophage_notproduced	prophage_notproduced	False	other	0.92857
KPN_B13_PHAGE067_M_PROTEIN_74	1248_60	0.0	92.125	1045.0	698	153	698	546	1	546	0.7822349570200573	1.0	0.7822349570200573	True	KL28	KL28	prediction	prophage_notproduced	True	other	0.92125
876_57	1248_60	0.0	91.636	1043.0	850	301	850	546	1	546	0.6470588235294118	1.0	0.6470588235294118	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.91636
1248_60	1409_62	0.0	91.636	1043.0	546	1	546	550	1	550	1.0	1.0	1.0	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.91636
YP_003347556_1_K21	YP_009198669_1_K21	0.0	86.609	1040.0	576	2	576	575	1	575	0.9982638888888888	1.0	0.9982638888888888	True	KL21	KL21	virulent	virulent	True	virulent-virulent	0.8660899999999999
1409_62	1344_72	0.0	91.818	1040.0	550	1	550	698	153	698	1.0	0.7822349570200573	0.7822349570200573	True	KL28	KL64	prophage_notproduced	prophage_notproduced	False	other	0.91818
1409_62	KPN_B13_PHAGE067_M_PROTEIN_74	0.0	91.818	1033.0	550	1	550	698	153	698	1.0	0.7822349570200573	0.7822349570200573	True	KL28	KL28	prophage_notproduced	prediction	True	other	0.91818
1631_52	738_68	0.0	82.06	1028.0	822	221	822	742	141	742	0.732360097323601	0.8113207547169812	0.732360097323601	True	KL10	KL143	prophage_notproduced	prophage	False	prophage_notproduced	0.8206
KPN_B7_PHAGE038_M_PROTEIN_70	914_74	0.0	96.512	1022.0	516	1	516	666	151	666	1.0	0.7747747747747747	0.7747747747747747	True	KL62	KL62	prediction	prophage	True	prediction	0.96512
184_43	KPN_B8_PHAGE124_M_PROTEIN_72	0.0	81.534	1020.0	639	1	639	634	1	634	1.0	1.0	1.0	True	KL111	KL111	prophage	prediction	True	prediction	0.8153400000000001
1190_71	KPN_B13_PHAGE067_M_PROTEIN_74	0.0	74.02	1017.0	695	12	695	698	15	698	0.9841726618705036	0.9799426934097422	0.9799426934097422	True	KL28	KL28	prophage_notproduced	prediction	True	other	0.7402
1190_71	1344_72	0.0	73.585	1012.0	695	12	695	698	15	698	0.9841726618705036	0.9799426934097422	0.9799426934097422	True	KL28	KL64	prophage_notproduced	prophage_notproduced	False	other	0.7358499999999999
1190_71	1251_37	0.0	77.814	991.0	695	75	695	677	63	677	0.8935251798561151	0.9084194977843427	0.8935251798561151	True	KL28	KL28	prophage_notproduced	prophage	True	prophage_notproduced	0.7781399999999999
1855_60	KPN_B8_PHAGE124_M_PROTEIN_72	0.0	96.819	988.0	503	1	503	634	132	634	1.0	0.7933753943217665	0.7933753943217665	True	KL25	KL111	prophage_notproduced	prediction	False	other	0.96819
1190_71	876_57	0.0	76.115	978.0	695	75	695	850	228	850	0.8935251798561151	0.7329411764705882	0.7329411764705882	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.76115
1248_60	1190_71	0.0	84.799	978.0	546	1	546	695	150	695	1.0	0.7856115107913669	0.7856115107913669	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.84799
666_83	1668_52	0.0	91.132	975.0	773	244	773	530	2	530	0.685640362225097	0.9981132075471698	0.685640362225097	True	KL116	KL2	prophage_notproduced	prophage_notproduced	False	other	0.91132
1855_60	184_43	0.0	95.427	959.0	503	1	503	639	137	639	1.0	0.7871674491392802	0.7871674491392802	True	KL25	KL111	prophage_notproduced	prophage	False	prophage_notproduced	0.9542700000000001
319_37	KVV_B1_PHAGE226_M_PROTEIN_38	0.0	98.927	952.0	794	1	466	466	1	466	0.5869017632241813	1.0	0.5869017632241813	False	KL127	KL127	prophage	prediction	True	prediction	0.9892700000000001
KQS_B1_PHAGE068_M_PROTEIN_82	KQS_B1_PHAGE218_M_PROTEIN_1	0.0	72.558	952.0	813	113	743	665	28	665	0.7761377613776138	0.9593984962406015	0.7761377613776138	False	KL127	KL127	prediction	prediction	True	other	0.7255800000000001
KQS_B1_PHAGE218_M_PROTEIN_1	321_74	0.0	77.663	947.0	665	87	665	663	12	593	0.8706766917293233	0.8778280542986425	0.8706766917293233	False	KL127	KL127	prediction	prophage_notproduced	True	other	0.7766299999999999
KQS_B1_PHAGE218_M_PROTEIN_1	319_37	0.0	74.751	945.0	665	67	665	794	123	724	0.9007518796992481	0.7581863979848866	0.7581863979848866	False	KL127	KL127	prediction	prophage	True	prediction	0.74751
1409_62	1190_71	0.0	82.0	939.0	550	1	550	695	150	695	1.0	0.7856115107913669	0.7856115107913669	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.82
YP_009153202_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	0.0	56.201	882.0	996	245	996	1050	295	1050	0.7550200803212851	0.72	0.72	True	KL64	KL64	virulent	prediction	True	prediction	0.56201
876_57	1251_37	0.0	67.675	875.0	850	225	850	677	60	677	0.7364705882352941	0.912850812407681	0.7364705882352941	True	KL28	KL28	prophage_notproduced	prophage	True	prophage_notproduced	0.67675
184_43	KPN_B7_PHAGE164_M_PROTEIN_57	0.0	75.253	867.0	639	50	639	803	214	803	0.9233176838810642	0.7347447073474471	0.7347447073474471	True	KL111	KL25	prophage	prediction	False	prediction	0.75253
1251_37	1406_54	0.0	66.397	858.0	677	66	677	695	78	695	0.9039881831610044	0.8892086330935252	0.8892086330935252	True	KL28	KL28	prophage	prophage_notproduced	True	prophage_notproduced	0.6639700000000001
KPN_B7_PHAGE164_M_PROTEIN_57	KPN_B8_PHAGE124_M_PROTEIN_72	0.0	72.408	849.0	803	205	803	634	12	634	0.7459526774595268	0.9826498422712934	0.7459526774595268	True	KL25	KL111	prediction	prediction	False	other	0.7240800000000001
1251_37	KPN_B13_PHAGE067_M_PROTEIN_74	0.0	64.275	845.0	677	47	677	698	64	698	0.9320531757754801	0.9097421203438395	0.9097421203438395	True	KL28	KL28	prophage	prediction	True	prediction	0.64275
1251_37	1344_72	0.0	70.304	835.0	677	121	677	698	140	698	0.8227474150664698	0.8008595988538681	0.8008595988538681	True	KL28	KL64	prophage	prophage_notproduced	False	prophage_notproduced	0.70304
1251_37	1248_60	0.0	71.245	832.0	677	134	677	546	1	546	0.8035450516986706	1.0	0.8035450516986706	True	KL28	KL28	prophage	prophage_notproduced	True	prophage_notproduced	0.71245
1251_37	1409_62	0.0	71.273	824.0	677	134	677	550	1	550	0.8035450516986706	1.0	0.8035450516986706	True	KL28	KL28	prophage	prophage_notproduced	True	prophage_notproduced	0.71273
1855_60	KPN_B7_PHAGE164_M_PROTEIN_57	0.0	82.704	822.0	503	1	503	803	303	803	1.0	0.6239103362391034	0.6239103362391034	True	KL25	KL25	prophage_notproduced	prediction	True	other	0.8270399999999999
BAN78446_1_KN2	UCR74083_1_K27	0.0	40.226	795.0	1245	1	1245	1294	1	1292	1.0	0.9984544049459042	0.9984544049459042	True	KN2	KL27	virulent	virulent	False	virulent-virulent	0.40226
QIW88225_1_K23	QOI68577_1_K23	0.0	65.938	768.0	607	60	607	555	11	555	0.9028006589785832	0.9819819819819819	0.9028006589785832	True	KL23	KL23	virulent	virulent	True	virulent-virulent	0.6593800000000001
YP_009797016_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	0.0	48.886	743.0	1017	254	1015	1050	290	1049	0.7492625368731564	0.7238095238095238	0.7238095238095238	True	KL64	KL64	virulent	prediction	True	prediction	0.48886
QOV05454_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	0.0	48.755	740.0	1017	254	1015	1050	290	1049	0.7492625368731564	0.7238095238095238	0.7238095238095238	True	KL64	KL64	virulent	prediction	True	prediction	0.48755000000000004
WOK01638_1_K62	0391_11	0.0	69.4529294117647	708.0	692	182	691	839	245	837	0.7369942196531792	0.7067938021454112	0.7067938021454112	True	KL62	KL62	virulent	prophage	True	prophage-virulent	0.694529294117647
YP_009797016_1_K64	YP_009153202_1_K64	0.0	47.204	707.0	1017	248	1015	996	234	995	0.7551622418879056	0.7650602409638554	0.7551622418879056	True	KL64	KL64	virulent	virulent	True	virulent-virulent	0.47204
QOV05454_1_K64	YP_009153202_1_K64	0.0	47.074	705.0	1017	248	1015	996	234	995	0.7551622418879056	0.7650602409638554	0.7551622418879056	True	KL64	KL64	virulent	virulent	True	virulent-virulent	0.47074
KQS_B1_PHAGE068_M_PROTEIN_82	KVV_B1_PHAGE226_M_PROTEIN_38	0.0	85.427	691.0	813	90	485	466	76	466	0.4870848708487085	0.8390557939914163	0.4870848708487085	False	KL127	KL127	prediction	prediction	True	other	0.8542700000000001
1863_75	KVV_B2_PHAGE059_M_PROTEIN_71	0.0	43.316	675.0	927	12	926	929	4	928	0.9870550161812298	0.9956942949407965	0.9870550161812298	True	KL7	KL10	prophage_inactive	prediction	False	other	0.43316000000000004
KPN_B2_PHAGE064_M_PROTEIN_80	KVV_B2_PHAGE059_M_PROTEIN_71	0.0	43.316	675.0	927	12	926	929	4	928	0.9870550161812298	0.9956942949407965	0.9870550161812298	True	KL7	KL10	prediction	prediction	False	other	0.43316000000000004
KPN_B2_PHAGE064_M_PROTEIN_80	1630_70	0.0	43.316	675.0	927	12	926	929	4	928	0.9870550161812298	0.9956942949407965	0.9870550161812298	True	KL7	KL10	prediction	prophage_inactive	False	other	0.43316000000000004
KVV_B1_PHAGE226_M_PROTEIN_38	321_74	0.0	96.418	675.0	466	132	466	663	1	335	0.7188841201716738	0.5052790346907994	0.5052790346907994	False	KL127	KL127	prediction	prophage_notproduced	True	other	0.96418
1863_75	1630_70	0.0	43.316	675.0	927	12	926	929	4	928	0.9870550161812298	0.9956942949407965	0.9870550161812298	True	KL7	KL10	prophage_inactive	prophage_inactive	False	other	0.43316000000000004
UZN24616_1_KN8	UFK09522_1_KN8	0.0	56.419	665.0	592	1	592	590	1	590	1.0	1.0	1.0	True	KN8	KN8	virulent	virulent	True	virulent-virulent	0.56419
1538_54	876_57	0.0	86.179	652.0	900	1	369	850	1	367	0.41	0.43176470588235294	0.41	False	KL140	KL28	prophage_notproduced	prophage_notproduced	False	other	0.8617900000000001
ATI16495_1_K57	AOZ65519_1_K57	0.0	55.424	644.0	721	144	720	843	263	843	0.8002773925104022	0.6892052194543298	0.6892052194543298	True	KL57	KL57	virulent	virulent	True	virulent-virulent	0.55424
876_57	1723_59	0.0	92.308	632.0	850	1	325	951	1	325	0.38235294117647056	0.34174553101997895	0.34174553101997895	False	KL28	KL60	prophage_notproduced	prophage	False	prophage_notproduced	0.9230800000000001
1538_54	1723_59	0.0	82.973	632.0	900	1	370	951	1	364	0.4111111111111111	0.38275499474237645	0.38275499474237645	False	KL140	KL60	prophage_notproduced	prophage	False	prophage_notproduced	0.82973
AOZ65519_1_K57	QTH79846_1_K57	0.0	55.929	630.0	843	291	843	614	53	612	0.6559905100830368	0.9120521172638436	0.6559905100830368	True	KL57	KL57	virulent	virulent	True	virulent-virulent	0.5592900000000001
KPN_B7_PHAGE164_M_PROTEIN_57	1409_59	0.0	97.377	620.0	803	1	305	852	2	306	0.37982565379825656	0.357981220657277	0.357981220657277	False	KL25	KL23	prediction	prophage	False	prediction	0.9737699999999999
1409_59	876_57	0.0	100.0	616.0	852	1	296	850	1	296	0.3474178403755869	0.34823529411764703	0.3474178403755869	False	KL23	KL28	prophage	prophage_notproduced	False	prophage_notproduced	1.0
KPN_B7_PHAGE164_M_PROTEIN_57	876_57	0.0	98.35	613.0	803	1	303	850	2	301	0.37733499377334995	0.35294117647058826	0.35294117647058826	False	KL25	KL28	prediction	prophage_notproduced	False	other	0.9834999999999999
1723_59	1409_59	0.0	97.635	609.0	951	1	296	852	1	296	0.31125131440588855	0.3474178403755869	0.31125131440588855	False	KL60	KL23	prophage	prophage	False	prophage-prophage	0.97635
KPN_B7_PHAGE164_M_PROTEIN_57	1723_59	0.0	97.288	607.0	803	1	295	951	2	296	0.36737235367372356	0.31019978969505785	0.31019978969505785	False	KL25	KL60	prediction	prophage	False	prediction	0.97288
1538_54	KPN_B7_PHAGE164_M_PROTEIN_57	0.0	94.788	602.0	900	2	308	803	1	306	0.3411111111111111	0.38107098381070986	0.3411111111111111	False	KL140	KL25	prophage_notproduced	prediction	False	other	0.94788
1409_59	1538_54	0.0	96.959	596.0	852	1	296	900	1	296	0.3474178403755869	0.3288888888888889	0.3288888888888889	False	KL23	KL140	prophage	prophage_notproduced	False	prophage_notproduced	0.9695900000000001
0391_11	914_74	1.3399999999999998e-126	52.81119420783646	595.0	839	173	839	666	81	666	0.7949940405244339	0.8798798798798799	0.7949940405244339	True	KL62	KL62	prophage	prophage	True	prophage-prophage	0.5281119420783645
KPN_B2_PHAGE139_M_PROTEIN_9	UCR74083_1_K27	0.0	36.636	593.0	1258	172	1234	1294	190	1267	0.8449920508744038	0.8330757341576507	0.8330757341576507	True	KL38	KL27	prediction	virulent	False	prediction	0.36636
617_77	UCR74083_1_K27	0.0	36.636	593.0	1258	172	1234	1294	190	1267	0.8449920508744038	0.8330757341576507	0.8330757341576507	True	KL38	KL27	prophage	virulent	False	prophage-virulent	0.36636
KPN_B20_PHAGE048_M_PROTEIN_10	914_74	9.97e-123	52.64086201022147	587.0	837	171	837	666	81	666	0.7968936678614098	0.8798798798798799	0.7968936678614098	True	KL62	KL62	prediction	prophage	True	prediction	0.5264086201022147
0367_12	914_74	2.4000000000000001e-122	52.64086201022147	586.0	851	185	851	666	81	666	0.7837837837837838	0.8798798798798799	0.7837837837837838	True	KL62	KL62	prophage	prophage	True	prophage-prophage	0.5264086201022147
WOK01638_1_K62	0367_12	0.0	69.746	583.0	692	143	568	851	216	648	0.615606936416185	0.5088131609870741	0.5088131609870741	False	KL62	KL62	virulent	prophage	True	prophage-virulent	0.69746
WOK01638_1_K62	KPN_B20_PHAGE048_M_PROTEIN_10	0.0	69.746	583.0	692	143	568	837	202	634	0.615606936416185	0.5173237753882916	0.5173237753882916	False	KL62	KL62	virulent	prediction	True	prediction	0.69746
0391_11	KPN_B7_PHAGE038_M_PROTEIN_70	2.41e-119	55.76944038461538	571.0	839	244	839	516	1	516	0.7103694874851013	1.0	0.7103694874851013	True	KL62	KL62	prophage	prediction	True	prediction	0.5576944038461538
0367_12	KPN_B7_PHAGE038_M_PROTEIN_70	2.93e-115	55.96164999999999	563.0	851	256	851	516	1	516	0.700352526439483	1.0	0.700352526439483	True	KL62	KL62	prophage	prediction	True	prediction	0.5596165
KPN_B20_PHAGE048_M_PROTEIN_10	KPN_B7_PHAGE038_M_PROTEIN_70	1.64e-115	55.96164999999999	563.0	837	242	837	516	1	516	0.7120669056152927	1.0	0.7120669056152927	True	KL62	KL62	prediction	prediction	True	other	0.5596165
BAN78446_1_KN2	KPN_B2_PHAGE139_M_PROTEIN_9	2.94e-178	35.22	554.0	1245	181	1243	1258	165	1250	0.8538152610441767	0.863275039745628	0.8538152610441767	True	KN2	KL38	virulent	prediction	False	prediction	0.3522
