protein1	protein2	protein1_specificity	protein2_specificity	seq_similarity	coverage_category	C-terminus	category
APZ82804_1_K30/K69	YP_009153203_1_K30/K69	KL30/K69	KL30/K69	0.49546	>=50%	included	same-specificity (virulent)
ALT58497_1_K47	BBF66867_1_KN3	KL47	KN3	0.556	>=50%	not_included	distinct-specificity (all)
ALT58497_1_K47	BBF66867_1_KN3	KL47	KN3	0.556	>=50%	not_included	distinct-specificity (virulent)
1921_77	QIW88225_1_K23	KL9	KL23	0.48473	>=50%	included	distinct-specificity (prophage not produced)
1441_47	QIW88225_1_K23	KL23	KL23	0.48473	>=50%	included	same-specificity (all)
1441_47	QIW88225_1_K23	KL23	KL23	0.48473	>=50%	included	same-specificity (prophage-virulent)
1248_57	QIW88225_1_K23	KL23	KL23	0.48664	>=50%	included	same-specificity (all)
1248_57	QIW88225_1_K23	KL23	KL23	0.48664	>=50%	included	same-specificity (prophage-virulent)
873_60	QIW88225_1_K23	KL28	KL23	0.48664	>=50%	included	distinct-specificity (prophage not produced)
1409_59	QIW88225_1_K23	KL23	KL23	0.48281999999999997	>=50%	included	same-specificity (all)
1409_59	QIW88225_1_K23	KL23	KL23	0.48281999999999997	>=50%	included	same-specificity (prophage-virulent)
WOK01638_1_K62	914_74	KL62	KL62	0.41159	>=50%	included	same-specificity (all)
WOK01638_1_K62	914_74	KL62	KL62	0.41159	>=50%	included	same-specificity (prophage-virulent)
WOK01638_1_K62	KPN_B7_PHAGE038_M_PROTEIN_70	KL62	KL62	0.47758	>=50%	included	same-specificity (prediction)
YP_003347651_1_K63	YP_009226011_1_K63	KL63	KL63	0.42418999999999996	>=50%	included	same-specificity (all)
YP_003347651_1_K63	YP_009226011_1_K63	KL63	KL63	0.42418999999999996	>=50%	included	same-specificity (virulent)
1921_77	QOI68577_1_K23	KL9	KL23	0.45524000000000003	>=50%	included	distinct-specificity (prophage not produced)
QOI68577_1_K23	1441_47	KL23	KL23	0.45905	>=50%	included	same-specificity (all)
QOI68577_1_K23	1441_47	KL23	KL23	0.45905	>=50%	included	same-specificity (prophage-virulent)
1248_57	QOI68577_1_K23	KL23	KL23	0.45524000000000003	>=50%	included	same-specificity (all)
1248_57	QOI68577_1_K23	KL23	KL23	0.45524000000000003	>=50%	included	same-specificity (prophage-virulent)
873_60	QOI68577_1_K23	KL28	KL23	0.45524000000000003	>=50%	included	distinct-specificity (prophage not produced)
1409_59	QOI68577_1_K23	KL23	KL23	0.44952	>=50%	included	same-specificity (all)
1409_59	QOI68577_1_K23	KL23	KL23	0.44952	>=50%	included	same-specificity (prophage-virulent)
245_48	248_38	KL55	KL46	0.42042	>=50%	included	distinct-specificity (prophage not produced)
ATS92567_1_K2	UPW42650_1_K2	KL2	KL2	0.45122	>=50%	included	same-specificity (all)
ATS92567_1_K2	UPW42650_1_K2	KL2	KL2	0.45122	>=50%	included	same-specificity (virulent)
YP_009153196_1_K21	YP_003347556_1_K21	KL21	KL21	0.39286	>=50%	included	same-specificity (all)
YP_009153196_1_K21	YP_003347556_1_K21	KL21	KL21	0.39286	>=50%	included	same-specificity (virulent)
YP_009153196_1_K21	YP_009198669_1_K21	KL21	KL21	0.38393	>=50%	included	same-specificity (all)
YP_009153196_1_K21	YP_009198669_1_K21	KL21	KL21	0.38393	>=50%	included	same-specificity (virulent)
WNO47121_1_K5	APZ82848_1_K5	KL5	KL5	0.34058	>=50%	included	same-specificity (all)
WNO47121_1_K5	APZ82848_1_K5	KL5	KL5	0.34058	>=50%	included	same-specificity (virulent)
YP_009153201_1_K1	YP_009098385_1_K1	KL1	KL1	0.33497	>=50%	included	same-specificity (all)
YP_009153201_1_K1	YP_009098385_1_K1	KL1	KL1	0.33497	>=50%	included	same-specificity (virulent)
YP_009153201_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.32976999999999995	>=50%	included	same-specificity (all)
YP_009153201_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.32976999999999995	>=50%	included	same-specificity (virulent)
YP_009153201_1_K1	YP_009302756_1_K1	KL1	KL1	0.3317	>=50%	included	same-specificity (all)
YP_009153201_1_K1	YP_009302756_1_K1	KL1	KL1	0.3317	>=50%	included	same-specificity (virulent)
KPN_B14_PHAGE090_M_PROTEIN_50	391_03	KL24	KL3	0.35927	>=50%	included	distinct-specificity (prediction)
1668_49	391_03	KL2	KL3	0.33188	>=50%	included	distinct-specificity (prophage not produced)
1057_41	YP_009153199_1_K25	KL25	KL25	0.34482999999999997	>=50%	included	same-specificity (prophage not produced)
391_03	KPN_B4_PHAGE180_M_PROTEIN_15	KL3	KL24	0.33332999999999996	>=50%	included	distinct-specificity (prediction)
YP_009153195_1_KN4	AXE28435_1_KN1	KN4	KN1	0.33113	>=50%	included	distinct-specificity (all)
YP_009153195_1_KN4	AXE28435_1_KN1	KN4	KN1	0.33113	>=50%	included	distinct-specificity (virulent)
KPN_B3_PHAGE052_L_PROTEIN_120	YP_009153199_1_K25	KL25	KL25	0.35642	>=50%	included	same-specificity (prediction)
YP_009153195_1_KN4	BBF66844_1_KN1	KN4	KN1	0.32441000000000003	>=50%	included	distinct-specificity (all)
YP_009153195_1_KN4	BBF66844_1_KN1	KN4	KN1	0.32441000000000003	>=50%	included	distinct-specificity (virulent)
391_03	KPN_B13_PHAGE067_M_PROTEIN_74	KL3	KL28	0.34493	>=50%	not_included	distinct-specificity (prediction)
1251_37	KPN_B4_PHAGE180_M_PROTEIN_15	KL28	KL24	0.35843	>=50%	not_included	distinct-specificity (prediction)
391_03	1344_72	KL3	KL64	0.34143	>=50%	not_included	distinct-specificity (prophage not produced)
184_43	KPN_B3_PHAGE052_L_PROTEIN_120	KL111	KL25	0.34335	>=50%	included	distinct-specificity (prediction)
KPN_B4_PHAGE495_M_PROTEIN_46	YP_009153199_1_K25	KL22	KL25	0.34325000000000006	>=50%	included	distinct-specificity (prediction)
184_43	1057_41	KL111	KL25	0.33807000000000004	>=50%	included	distinct-specificity (prophage not produced)
QOV05454_1_K64	KQQ_B1_PHAGE040_M_PROTEIN_36	KL64	KL14	0.29806	>=50%	not_included	distinct-specificity (prediction)
0574_17	QOV05454_1_K64	KL14	KL64	0.29858	>=50%	not_included	distinct-specificity (all)
0574_17	QOV05454_1_K64	KL14	KL64	0.29858	>=50%	not_included	distinct-specificity (prophage-virulent)
YP_009797016_1_K64	0574_17	KL64	KL14	0.29677	>=50%	not_included	distinct-specificity (all)
YP_009797016_1_K64	0574_17	KL64	KL14	0.29677	>=50%	not_included	distinct-specificity (prophage-virulent)
YP_009797016_1_K64	KQQ_B1_PHAGE040_M_PROTEIN_36	KL64	KL14	0.29677	>=50%	not_included	distinct-specificity (prediction)
KPN_B11_PHAGE329_M_PROTEIN_7	0574_17	KL64	KL14	0.2888	>=50%	included	distinct-specificity (prediction)
YP_009153202_1_K64	0574_17	KL64	KL14	0.26976	>=50%	included	distinct-specificity (all)
YP_009153202_1_K64	0574_17	KL64	KL14	0.26976	>=50%	included	distinct-specificity (prophage-virulent)
YP_009153202_1_K64	KQQ_B1_PHAGE040_M_PROTEIN_36	KL64	KL14	0.26976	>=50%	included	distinct-specificity (prediction)
KPN_B13_PHAGE002_M_PROTEIN_56	YP_009153200_1_K35	KL122	KL35	0.27873000000000003	>=50%	included	distinct-specificity (prediction)
0496_72	YP_009153200_1_K35	KL122	KL35	0.27873000000000003	>=50%	included	distinct-specificity (all)
0496_72	YP_009153200_1_K35	KL122	KL35	0.27873000000000003	>=50%	included	distinct-specificity (prophage-virulent)
YP_009153199_1_K25	279_60	KL25	KL25	0.35975999999999997	>=50%	included	same-specificity (prophage not produced)
184_43	KPN_B4_PHAGE495_M_PROTEIN_46	KL111	KL22	0.34643999999999997	>=50%	included	distinct-specificity (prediction)
1855_60	YP_009153199_1_K25	KL25	KL25	0.33130000000000004	>=50%	included	same-specificity (prophage not produced)
KPN_B8_PHAGE124_M_PROTEIN_72	YP_009153199_1_K25	KL111	KL25	0.32927	>=50%	included	distinct-specificity (prediction)
184_43	YP_009153199_1_K25	KL111	KL25	0.32317	>=50%	included	distinct-specificity (all)
184_43	YP_009153199_1_K25	KL111	KL25	0.32317	>=50%	included	distinct-specificity (prophage-virulent)
184_43	279_60	KL111	KL25	0.34509999999999996	>=50%	included	distinct-specificity (prophage not produced)
1723_59	KPN_B20_PHAGE487_M_PROTEIN_8	KL60	KL64	0.25791000000000003	>=50%	included	distinct-specificity (prediction)
1723_59	1091_44	KL60	KL64	0.25791000000000003	>=50%	included	distinct-specificity (all)
1723_59	1091_44	KL60	KL64	0.25791000000000003	>=50%	included	distinct-specificity (prophage)
KPN_B7_PHAGE164_M_PROTEIN_57	YP_009153199_1_K25	KL25	KL25	0.31837	>=50%	included	same-specificity (prediction)
QJI52632_K13/K2	UPW42650_1_K2	KL13/K2	KL2	0.29806	>=50%	included	same-specificity (all)
QJI52632_K13/K2	UPW42650_1_K2	KL13/K2	KL2	0.29806	>=50%	included	same-specificity (virulent)
1723_62	YP_009153197_1_K11	KL60	KL11	0.29420999999999997	>=50%	included	distinct-specificity (prophage not produced)
1723_59	1343_36	KL60	KL64	0.2652	>=50%	included	distinct-specificity (prophage not produced)
APZ82768_1_K13/K2	UPW42650_1_K2	KL13/K2	KL2	0.29982	>=50%	included	same-specificity (all)
APZ82768_1_K13/K2	UPW42650_1_K2	KL13/K2	KL2	0.29982	>=50%	included	same-specificity (virulent)
REC_015_PROTEIN_54_KL2	UPW42650_1_K2	KL2	KL2	0.29329	>=50%	included	same-specificity (all)
REC_015_PROTEIN_54_KL2	UPW42650_1_K2	KL2	KL2	0.29329	>=50%	included	same-specificity (virulent)
YP_003347555_1_K3	KPN_B11_PHAGE013_M_PROTEIN_11	KL3	KL3	0.2991	>=50%	not_included	same-specificity (prediction)
QJI52632_K13/K2	ATS92567_1_K2	KL13/K2	KL2	0.27692	>=50%	included	same-specificity (all)
QJI52632_K13/K2	ATS92567_1_K2	KL13/K2	KL2	0.27692	>=50%	included	same-specificity (virulent)
APZ82768_1_K13/K2	ATS92567_1_K2	KL13/K2	KL2	0.27168	>=50%	included	same-specificity (all)
APZ82768_1_K13/K2	ATS92567_1_K2	KL13/K2	KL2	0.27168	>=50%	included	same-specificity (virulent)
1724_71	1343_36	KL60	KL64	0.25718	>=50%	included	distinct-specificity (prophage not produced)
REC_015_PROTEIN_54_KL2	ATS92567_1_K2	KL2	KL2	0.27308	>=50%	included	same-specificity (all)
REC_015_PROTEIN_54_KL2	ATS92567_1_K2	KL2	KL2	0.27308	>=50%	included	same-specificity (virulent)
1668_49	1251_37	KL2	KL28	0.27213	>=50%	not_included	distinct-specificity (prophage not produced)
1724_71	1091_44	KL60	KL64	0.25889	>=50%	included	distinct-specificity (all)
1724_71	1091_44	KL60	KL64	0.25889	>=50%	included	distinct-specificity (prophage)
1724_71	KPN_B20_PHAGE487_M_PROTEIN_8	KL60	KL64	0.25889	>=50%	included	distinct-specificity (prediction)
BBF66868_1_K56	1343_36	KL56	KL64	0.26687	>=50%	included	distinct-specificity (prophage not produced)
BBF66868_1_K56	1091_44	KL56	KL64	0.26054	>=50%	included	distinct-specificity (all)
BBF66868_1_K56	1091_44	KL56	KL64	0.26054	>=50%	included	distinct-specificity (prophage-virulent)
BBF66868_1_K56	KPN_B20_PHAGE487_M_PROTEIN_8	KL56	KL64	0.26054	>=50%	included	distinct-specificity (prediction)
KVV_B3_PHAGE102_M_PROTEIN_79	1091_44	KL60	KL64	0.25467	>=50%	not_included	distinct-specificity (prediction)
391_03	1251_37	KL3	KL28	0.27706	>=50%	not_included	distinct-specificity (all)
391_03	1251_37	KL3	KL28	0.27706	>=50%	not_included	distinct-specificity (prophage)
391_03	1190_71	KL3	KL28	0.26715	>=50%	not_included	distinct-specificity (prophage not produced)
KPN_B11_PHAGE013_M_PROTEIN_11	UCR74082_1_K7	KL3	KL7	0.23640999999999998	>=50%	included	distinct-specificity (prediction)
KPN_B6_PHAGE307_M_PROTEIN_10	1251_37	KL3	KL28	0.27477	>=50%	not_included	distinct-specificity (prediction)
391_03	1406_54	KL3	KL28	0.26263000000000003	>=50%	not_included	distinct-specificity (prophage not produced)
391_03	876_57	KL3	KL28	0.25733	>=50%	not_included	distinct-specificity (prophage not produced)
KPN_B14_PHAGE090_M_PROTEIN_50	1251_37	KL24	KL28	0.267	>=50%	included	distinct-specificity (prediction)
KPN_B14_PHAGE135_M_PROTEIN_36	YP_009153203_1_K30/K69	KL30	KL30/K69	0.24954	>=50%	not_included	same-specificity (prediction)
BBF66868_1_K56	1723_59	KL56	KL60	0.23774	>=50%	included	distinct-specificity (all)
BBF66868_1_K56	1723_59	KL56	KL60	0.23774	>=50%	included	distinct-specificity (prophage-virulent)
BBF66868_1_K56	1724_71	KL56	KL60	0.23562999999999998	>=50%	included	distinct-specificity (all)
BBF66868_1_K56	1724_71	KL56	KL60	0.23562999999999998	>=50%	included	distinct-specificity (prophage-virulent)
BBF66868_1_K56	KVV_B3_PHAGE102_M_PROTEIN_79	KL56	KL60	0.26702000000000004	>=50%	not_included	distinct-specificity (prediction)
391_03	1248_60	KL3	KL28	0.26128	>=50%	not_included	distinct-specificity (prophage not produced)
APZ82804_1_K30/K69	KPN_B14_PHAGE135_M_PROTEIN_36	KL30/K69	KL30	0.27601	>=50%	not_included	same-specificity (prediction)
391_03	1409_62	KL3	KL28	0.25891	>=50%	not_included	distinct-specificity (prophage not produced)
0496_72	245_48	KL122	KL55	0.21583	>=50%	not_included	distinct-specificity (prophage not produced)
