source	target	interaction	tm_max	tm_norm_1	tm_norm_2	rmsd	tm_interval
KL125_12_wcaG	KL151_09	structural_similarity	0.9354	0.9354	0.8463	1.7804	high (0.90-1.00)
KL106_17	KL24_13_wcuG	structural_similarity	0.9344	0.9344	0.9317	1.4547	high (0.90-1.00)
KL54_10_wckB	KL6_10_wckB	structural_similarity	0.9328	0.9328	0.9328	1.1838	high (0.90-1.00)
KL22_17	KL24_13_wcuG	structural_similarity	0.9323	0.9323	0.9323	1.5051	high (0.90-1.00)
KL178_14	KL5_11	structural_similarity	0.9322	0.9322	0.8982	1.5788	high (0.90-1.00)
KL144_15	KL5_11	structural_similarity	0.9321	0.9321	0.898	1.6613	high (0.90-1.00)
KL125_12_wcaG	KL8_08_wcsG	structural_similarity	0.9285	0.9285	0.9022	1.7966	high (0.90-1.00)
KL174_12_wcpF	KL49_14_wcpF	structural_similarity	0.9279	0.9279	0.8649	1.3726	high (0.90-1.00)
KL24_13_wcuG	KL69_15_wcuG	structural_similarity	0.9264	0.9264	0.8715	1.8042	high (0.90-1.00)
KL108_13	KL113_10	structural_similarity	0.9263	0.9164	0.9263	1.6998	high (0.90-1.00)
KL30_15_wcuG	KL4_03_wcuG	structural_similarity	0.9262	0.8811	0.9262	2.1638	high (0.90-1.00)
KL113_10	KL121_13_wcqU	structural_similarity	0.9254	0.9154	0.9254	1.4954	high (0.90-1.00)
KL4_03_wcuG	KL69_15_wcuG	structural_similarity	0.9252	0.9252	0.8705	2.0353	high (0.90-1.00)
KL35_16_wclK	KL49_11_wclK	structural_similarity	0.925	0.925	0.925	1.8012	high (0.90-1.00)
KL82_11_wcqN	KL8_08_wcsG	structural_similarity	0.9247	0.9247	0.9038	1.4018	high (0.90-1.00)
KL106_17	KL30_15_wcuG	structural_similarity	0.9245	0.9245	0.8768	1.9725	high (0.90-1.00)
KL108_13	KL6_10_wckB	structural_similarity	0.9241	0.9095	0.9241	1.7217	high (0.90-1.00)
KL24_13_wcuG	KL30_15_wcuG	structural_similarity	0.9225	0.9225	0.8774	1.856	high (0.90-1.00)
KL22_17	KL30_15_wcuG	structural_similarity	0.9222	0.9222	0.877	1.7984	high (0.90-1.00)
KL106_17	KL69_15_wcuG	structural_similarity	0.9216	0.9216	0.8645	1.9408	high (0.90-1.00)
KL22_17	KL69_15_wcuG	structural_similarity	0.9212	0.9212	0.8667	1.9522	high (0.90-1.00)
KL108_13	KL54_10_wckB	structural_similarity	0.9197	0.905	0.9197	1.4897	high (0.90-1.00)
KL58_13_wcqU	KL6_10_wckB	structural_similarity	0.9197	0.91	0.9197	1.7855	high (0.90-1.00)
KL113_10	KL58_13_wcqU	structural_similarity	0.9192	0.9192	0.9143	1.7796	high (0.90-1.00)
KL121_13_wcqU	KL6_10_wckB	structural_similarity	0.9157	0.9157	0.9108	1.6718	high (0.90-1.00)
KL121_13_wcqU	KL54_10_wckB	structural_similarity	0.9134	0.9134	0.9084	1.4091	high (0.90-1.00)
KL54_10_wckB	KL58_13_wcqU	structural_similarity	0.9129	0.9129	0.9031	1.7698	high (0.90-1.00)
KL125_12_wcaG	KL82_11_wcqN	structural_similarity	0.9118	0.9118	0.9066	1.7706	high (0.90-1.00)
KL125_12_wcaG	KL20_09	structural_similarity	0.9112	0.9112	0.8711	1.7393	high (0.90-1.00)
KL125_12_wcaG	KL160_17_cysE	structural_similarity	0.91	0.91	0.8746	1.7491	high (0.90-1.00)
KL165_12	KL39_14	structural_similarity	0.9076	0.8796	0.9076	2.1595	high (0.90-1.00)
KL151_09	KL82_11_wcqN	structural_similarity	0.9075	0.8262	0.9075	1.8064	high (0.90-1.00)
KL39_14	KL134_12	structural_similarity	0.9065	0.9065	0.8589	2.0597	high (0.90-1.00)
KL121_13_wcqU	KL16_11_lacA	structural_similarity	0.9059	0.9059	0.8819	1.4917	high (0.90-1.00)
KL125_12_wcaG	KL132_17	structural_similarity	0.9046	0.9046	0.8697	1.8524	high (0.90-1.00)
KL108_13	KL16_11_lacA	structural_similarity	0.8991	0.8991	0.8943	1.5043	moderate (0.75-0.90)
KL20_09	KL8_08_wcsG	structural_similarity	0.8976	0.8828	0.8976	1.9424	moderate (0.75-0.90)
KL16_11_lacA	KL58_13_wcqU	structural_similarity	0.8953	0.8859	0.8953	1.7015	moderate (0.75-0.90)
KL61_12_wcqZ	KL63_08_wcsD	structural_similarity	0.8901	0.8901	0.8678	1.4862	moderate (0.75-0.90)
KL160_17_cysE	KL8_08_wcsG	structural_similarity	0.8899	0.88	0.8899	1.8817	moderate (0.75-0.90)
KL151_09	KL8_08_wcsG	structural_similarity	0.8879	0.8275	0.8879	1.9493	moderate (0.75-0.90)
KL132_17	KL151_09	structural_similarity	0.8838	0.8838	0.8329	1.8466	moderate (0.75-0.90)
KL151_09	KL160_17_cysE	structural_similarity	0.88	0.8294	0.88	1.9252	moderate (0.75-0.90)
KL132_17	KL8_08_wcsG	structural_similarity	0.8779	0.8682	0.8779	2.0426	moderate (0.75-0.90)
KL55_10_wcpI	KL61_12_wcqZ	structural_similarity	0.8771	0.7337	0.8771	2.0864	moderate (0.75-0.90)
KL114_11_wcqZ	KL63_08_wcsD	structural_similarity	0.8716	0.8716	0.8585	1.6	moderate (0.75-0.90)
KL54_10_wckB	KL5_11	structural_similarity	0.8699	0.8699	0.8562	1.8404	moderate (0.75-0.90)
KL55_10_wcpI	KL63_08_wcsD	structural_similarity	0.8687	0.7447	0.8687	1.965	moderate (0.75-0.90)
KL113_10	KL5_11	structural_similarity	0.8678	0.8678	0.8587	1.9759	moderate (0.75-0.90)
KL151_09	KL20_09	structural_similarity	0.8667	0.8212	0.8667	1.9615	moderate (0.75-0.90)
KL6_10_wckB	KL5_11	structural_similarity	0.8645	0.8645	0.8511	2.1604	moderate (0.75-0.90)
KL144_15	KL54_10_wckB	structural_similarity	0.8631	0.8631	0.8449	1.6361	moderate (0.75-0.90)
KL108_13	KL144_15	structural_similarity	0.8625	0.831	0.8625	1.4124	moderate (0.75-0.90)
KL165_12	KL35_16_wclK	structural_similarity	0.8599	0.8599	0.807	3.0051	moderate (0.75-0.90)
KL114_11_wcqZ	KL55_10_wcpI	structural_similarity	0.8586	0.8586	0.7257	2.2091	moderate (0.75-0.90)
KL16_11_lacA	KL5_11	structural_similarity	0.8571	0.8526	0.8571	1.9485	moderate (0.75-0.90)
KL144_15	KL58_13_wcqU	structural_similarity	0.8563	0.8563	0.8294	1.4774	moderate (0.75-0.90)
KL178_14	KL54_10_wckB	structural_similarity	0.8563	0.8563	0.8384	1.7213	moderate (0.75-0.90)
KL108_13	KL178_14	structural_similarity	0.8554	0.8244	0.8554	1.5113	moderate (0.75-0.90)
KL113_10	KL144_15	structural_similarity	0.8554	0.8332	0.8554	1.915	moderate (0.75-0.90)
KL144_15	KL16_11_lacA	structural_similarity	0.8546	0.8546	0.8196	1.9334	moderate (0.75-0.90)
KL137_14_wclK	KL39_14	structural_similarity	0.8516	0.8023	0.8516	3.1099	moderate (0.75-0.90)
KL137_14_wclK	KL165_12	structural_similarity	0.8504	0.8253	0.8504	2.7545	moderate (0.75-0.90)
KL16_11_lacA	KL178_14	structural_similarity	0.8497	0.815	0.8497	1.9457	moderate (0.75-0.90)
KL178_14	KL58_13_wcqU	structural_similarity	0.8496	0.8496	0.8231	1.7627	moderate (0.75-0.90)
KL113_10	KL178_14	structural_similarity	0.8489	0.8269	0.8489	1.9517	moderate (0.75-0.90)
KL121_13_wcqU	KL144_15	structural_similarity	0.8489	0.8352	0.8489	1.3382	moderate (0.75-0.90)
KL121_13_wcqU	KL5_11	structural_similarity	0.8484	0.8484	0.8305	1.9173	moderate (0.75-0.90)
KL144_15	KL6_10_wckB	structural_similarity	0.8479	0.8479	0.8303	1.9168	moderate (0.75-0.90)
KL35_16_wclK	KL39_14	structural_similarity	0.8458	0.7709	0.8458	3.2038	moderate (0.75-0.90)
KL108_13	KL5_11	structural_similarity	0.8426	0.8426	0.8426	2.0052	moderate (0.75-0.90)
KL178_14	KL6_10_wckB	structural_similarity	0.8421	0.8421	0.8248	1.9399	moderate (0.75-0.90)
KL35_16_wclK	KL134_12	structural_similarity	0.8419	0.8071	0.8419	2.8781	moderate (0.75-0.90)
KL121_13_wcqU	KL178_14	structural_similarity	0.8414	0.828	0.8414	1.4651	moderate (0.75-0.90)
KL165_12	KL49_11_wclK	structural_similarity	0.8406	0.8406	0.7894	3.2001	moderate (0.75-0.90)
KL58_13_wcqU	KL5_11	structural_similarity	0.8382	0.8382	0.8338	2.079	moderate (0.75-0.90)
KL177_16	KL2_13	structural_similarity	0.8373	0.8373	0.8231	2.2408	moderate (0.75-0.90)
KL39_14	KL49_11_wclK	structural_similarity	0.8365	0.8365	0.763	3.2462	moderate (0.75-0.90)
KL116_17_wcpG	KL157_16	structural_similarity	0.8344	0.8344	0.8051	3.0964	moderate (0.75-0.90)
KL177_16	PROTEIN02_MOD_AC_K2	structural_similarity	0.8339	0.8339	0.8198	2.2878	moderate (0.75-0.90)
KL174_12_wcpF	KL48_15_wcqE	structural_similarity	0.8338	0.8338	0.7499	2.1617	moderate (0.75-0.90)
KL157_16	KL160_20_wcpG	structural_similarity	0.8291	0.8104	0.8291	2.9463	moderate (0.75-0.90)
KL158_13_cysE	KL82_11_wcqN	structural_similarity	0.826	0.6901	0.826	1.9019	moderate (0.75-0.90)
KL116_17_wcpG	KL167_17	structural_similarity	0.8244	0.8244	0.7861	3.5011	moderate (0.75-0.90)
KL137_14_wclK	KL134_12	structural_similarity	0.8239	0.8174	0.8239	3.0928	moderate (0.75-0.90)
KL121_20_wcsO	KL62_12	structural_similarity	0.822	0.7701	0.822	3.131	moderate (0.75-0.90)
KL1_11_wcsT	KL55_10_wcpI	structural_similarity	0.8215	0.8215	0.6357	2.5333	moderate (0.75-0.90)
KL177_16	KL61_12_wcqZ	structural_similarity	0.8203	0.7073	0.8203	2.7554	moderate (0.75-0.90)
KL150_18	KL157_16	structural_similarity	0.8194	0.8194	0.3404	2.2824	moderate (0.75-0.90)
KL114_11_wcqZ	KL177_16	structural_similarity	0.8188	0.8188	0.713	2.7363	moderate (0.75-0.90)
KL160_20_wcpG	KL167_17	structural_similarity	0.817	0.817	0.789	3.2794	moderate (0.75-0.90)
KL113_09	KL1_11_wcsT	structural_similarity	0.8159	0.7737	0.8159	2.1578	moderate (0.75-0.90)
KL132_20_wcpG	KL157_16	structural_similarity	0.8157	0.8157	0.8116	3.3517	moderate (0.75-0.90)
KL16_10_vatD	KL1_11_wcsT	structural_similarity	0.8142	0.768	0.8142	2.2343	moderate (0.75-0.90)
KL57_13_vanT	KL62_12	structural_similarity	0.8133	0.7884	0.8133	2.6816	moderate (0.75-0.90)
KL62_12	PROTEIN03_MOD_AC_K57	structural_similarity	0.8124	0.8124	0.7875	2.6863	moderate (0.75-0.90)
KL134_12	KL49_11_wclK	structural_similarity	0.8109	0.8109	0.7778	3.0339	moderate (0.75-0.90)
KL143_16_wcsW	KL63_08_wcsD	structural_similarity	0.8024	0.8024	0.7177	2.2376	moderate (0.75-0.90)
KL132_20_wcpG	KL167_17	structural_similarity	0.8017	0.8017	0.788	3.5453	moderate (0.75-0.90)
KL142_16_wcqA	KL69_15_wcuG	structural_similarity	0.8016	0.8016	0.73	2.9611	moderate (0.75-0.90)
KL147_16	KL63_08_wcsD	structural_similarity	0.8007	0.8007	0.716	2.3339	moderate (0.75-0.90)
KL4_12_wcsW	KL63_08_wcsD	structural_similarity	0.7991	0.7991	0.7145	2.3679	moderate (0.75-0.90)
KL106_17	KL35_16_wclK	structural_similarity	0.7987	0.7987	0.7494	3.2888	moderate (0.75-0.90)
KL116_17_wcpG	KL39_14	structural_similarity	0.7986	0.73	0.7986	3.4663	moderate (0.75-0.90)
KL160_20_wcpG	KL39_14	structural_similarity	0.7972	0.7206	0.7972	3.7152	moderate (0.75-0.90)
KL121_20_wcsO	KL57_13_vanT	structural_similarity	0.7971	0.7698	0.7971	3.5299	moderate (0.75-0.90)
KL142_16_wcqA	KL24_13_wcuG	structural_similarity	0.7956	0.7956	0.7678	2.9331	moderate (0.75-0.90)
KL158_13_cysE	KL160_17_cysE	structural_similarity	0.7955	0.688	0.7955	1.9152	moderate (0.75-0.90)
KL132_20_wcpG	KL39_14	structural_similarity	0.7954	0.7067	0.7954	3.7125	moderate (0.75-0.90)
KL30_15_wcuG	KL62_12	structural_similarity	0.7953	0.7166	0.7953	3.3738	moderate (0.75-0.90)
KL142_16_wcqA	KL30_15_wcuG	structural_similarity	0.7949	0.7949	0.7314	3.0377	moderate (0.75-0.90)
KL1_11_wcsT	KL63_08_wcsD	structural_similarity	0.7945	0.7945	0.7181	2.5125	moderate (0.75-0.90)
KL125_12_wcaG	KL158_13_cysE	structural_similarity	0.7943	0.7943	0.6618	2.3192	moderate (0.75-0.90)
KL121_20_wcsO	PROTEIN03_MOD_AC_K57	structural_similarity	0.7932	0.766	0.7932	3.541	moderate (0.75-0.90)
KL150_18	KL167_17	structural_similarity	0.7931	0.7931	0.3295	2.5085	moderate (0.75-0.90)
KL144_15	KL147_16	structural_similarity	0.7928	0.7635	0.7928	1.9819	moderate (0.75-0.90)
KL24_13_wcuG	KL44_16_wcqA	structural_similarity	0.7928	0.7693	0.7928	3.018	moderate (0.75-0.90)
KL114_11_wcqZ	PROTEIN02_MOD_AC_K2	structural_similarity	0.7927	0.7927	0.6791	2.8629	moderate (0.75-0.90)
KL114_11_wcqZ	KL2_13	structural_similarity	0.7923	0.7923	0.6788	2.8578	moderate (0.75-0.90)
KL144_15	KL4_12_wcsW	structural_similarity	0.7923	0.763	0.7923	1.9672	moderate (0.75-0.90)
KL10_15_wcsO	KL121_20_wcsO	structural_similarity	0.7918	0.7918	0.6298	2.8371	moderate (0.75-0.90)
KL106_17	KL137_14_wclK	structural_similarity	0.7918	0.7918	0.7676	3.3561	moderate (0.75-0.90)
KL147_16	KL178_14	structural_similarity	0.791	0.791	0.7619	1.9916	moderate (0.75-0.90)
KL143_16_wcsW	KL144_15	structural_similarity	0.791	0.791	0.7619	1.9835	moderate (0.75-0.90)
KL178_14	KL4_12_wcsW	structural_similarity	0.7905	0.7614	0.7905	1.9779	moderate (0.75-0.90)
KL22_17	KL35_16_wclK	structural_similarity	0.7902	0.7902	0.7435	3.4041	moderate (0.75-0.90)
KL165_12	KL30_15_wcuG	structural_similarity	0.7897	0.7897	0.7545	3.6747	moderate (0.75-0.90)
KL143_16_wcsW	KL178_14	structural_similarity	0.7894	0.7894	0.7603	1.9903	moderate (0.75-0.90)
KL137_14_wclK	KL22_17	structural_similarity	0.7892	0.7671	0.7892	3.4083	moderate (0.75-0.90)
KL165_12	KL69_15_wcuG	structural_similarity	0.789	0.789	0.7464	3.7105	moderate (0.75-0.90)
KL2_13	KL61_12_wcqZ	structural_similarity	0.7889	0.6696	0.7889	2.8279	moderate (0.75-0.90)
KL61_12_wcqZ	PROTEIN02_MOD_AC_K2	structural_similarity	0.7887	0.7887	0.6694	2.8311	moderate (0.75-0.90)
KL132_17	KL158_13_cysE	structural_similarity	0.7884	0.7884	0.6822	2.0344	moderate (0.75-0.90)
KL44_16_wcqA	KL4_03_wcuG	structural_similarity	0.788	0.788	0.7646	2.8729	moderate (0.75-0.90)
KL142_16_wcqA	KL4_03_wcuG	structural_similarity	0.7876	0.7876	0.7601	3.0348	moderate (0.75-0.90)
KL114_11_wcqZ	KL1_11_wcsT	structural_similarity	0.7865	0.7218	0.7865	2.3563	moderate (0.75-0.90)
KL61_12_wcqZ	PROTEIN01_MOD_AC_K1	structural_similarity	0.786	0.786	0.4877	2.5596	moderate (0.75-0.90)
KL22_17	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7859	0.7859	0.7386	3.5176	moderate (0.75-0.90)
KL158_13_cysE	KL8_08_wcsG	structural_similarity	0.7855	0.6729	0.7855	1.9796	moderate (0.75-0.90)
KL4_12_wcsW	KL5_11	structural_similarity	0.7853	0.7853	0.7294	2.1486	moderate (0.75-0.90)
KL147_16	KL55_10_wcpI	structural_similarity	0.7853	0.7853	0.6033	2.7027	moderate (0.75-0.90)
KL10_15_wcsO	KL57_13_vanT	structural_similarity	0.7852	0.7852	0.6481	2.8493	moderate (0.75-0.90)
KL62_12	KL69_15_wcuG	structural_similarity	0.7852	0.7852	0.7005	3.3652	moderate (0.75-0.90)
KL1_11_wcsT	KL61_12_wcqZ	structural_similarity	0.7852	0.7852	0.7281	2.3724	moderate (0.75-0.90)
KL147_16	KL5_11	structural_similarity	0.7843	0.7843	0.7286	2.1873	moderate (0.75-0.90)
KL143_16_wcsW	KL55_10_wcpI	structural_similarity	0.7842	0.7842	0.6025	2.6113	moderate (0.75-0.90)
KL10_15_wcsO	PROTEIN03_MOD_AC_K57	structural_similarity	0.7842	0.7842	0.6474	2.8675	moderate (0.75-0.90)
KL106_17	KL134_12	structural_similarity	0.7834	0.7834	0.7655	3.7642	moderate (0.75-0.90)
KL30_15_wcuG	KL134_12	structural_similarity	0.7831	0.7637	0.7831	3.6785	moderate (0.75-0.90)
KL158_13_cysE	KL20_09	structural_similarity	0.7829	0.6814	0.7829	2.028	moderate (0.75-0.90)
KL35_16_wclK	KL4_03_wcuG	structural_similarity	0.7821	0.7366	0.7821	3.6227	moderate (0.75-0.90)
KL157_16	KL39_14	structural_similarity	0.782	0.6907	0.782	3.5779	moderate (0.75-0.90)
KL143_16_wcsW	KL5_11	structural_similarity	0.7819	0.7819	0.7265	2.2085	moderate (0.75-0.90)
KL147_16	KL16_10_vatD	structural_similarity	0.7817	0.7817	0.7309	2.6022	moderate (0.75-0.90)
KL4_12_wcsW	KL55_10_wcpI	structural_similarity	0.7808	0.7808	0.6002	2.7838	moderate (0.75-0.90)
KL22_17	KL44_16_wcqA	structural_similarity	0.7808	0.7576	0.7808	3.0132	moderate (0.75-0.90)
KL69_15_wcuG	KL134_12	structural_similarity	0.7807	0.7539	0.7807	3.8543	moderate (0.75-0.90)
KL143_16_wcsW	KL16_10_vatD	structural_similarity	0.7802	0.7802	0.7295	2.6534	moderate (0.75-0.90)
KL113_09	KL147_16	structural_similarity	0.7799	0.7329	0.7799	2.6701	moderate (0.75-0.90)
KL142_16_wcqA	KL22_17	structural_similarity	0.7796	0.7796	0.7526	3.1739	moderate (0.75-0.90)
KL165_12	KL52_15_wcpG	structural_similarity	0.7792	0.7792	0.7098	3.7972	moderate (0.75-0.90)
KL30_15_wcuG	KL44_16_wcqA	structural_similarity	0.7791	0.7221	0.7791	3.2453	moderate (0.75-0.90)
KL114_15	KL69_15_wcuG	structural_similarity	0.7789	0.7789	0.6506	3.3809	moderate (0.75-0.90)
KL16_10_vatD	KL4_12_wcsW	structural_similarity	0.7788	0.7284	0.7788	2.6131	moderate (0.75-0.90)
KL106_17	KL44_16_wcqA	structural_similarity	0.7782	0.7572	0.7782	2.9801	moderate (0.75-0.90)
KL4_03_wcuG	KL134_12	structural_similarity	0.7774	0.7774	0.7617	3.8475	moderate (0.75-0.90)
KL113_09	KL143_16_wcsW	structural_similarity	0.7773	0.7304	0.7773	2.7385	moderate (0.75-0.90)
KL114_11_wcqZ	PROTEIN01_MOD_AC_K1	structural_similarity	0.7769	0.7769	0.4881	2.616	moderate (0.75-0.90)
KL30_15_wcuG	KL39_14	structural_similarity	0.7769	0.7214	0.7769	3.6913	moderate (0.75-0.90)
KL106_17	KL142_16_wcqA	structural_similarity	0.7767	0.7518	0.7767	3.1515	moderate (0.75-0.90)
KL44_16_wcqA	KL69_15_wcuG	structural_similarity	0.7764	0.7764	0.7133	3.4368	moderate (0.75-0.90)
KL113_09	KL4_12_wcsW	structural_similarity	0.7761	0.7294	0.7761	2.7043	moderate (0.75-0.90)
KL24_13_wcuG	KL35_16_wclK	structural_similarity	0.7755	0.7755	0.7302	3.6111	moderate (0.75-0.90)
KL106_17	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7754	0.7754	0.7271	3.7212	moderate (0.75-0.90)
KL160_20_wcpG	KL165_12	structural_similarity	0.775	0.7219	0.775	3.9242	moderate (0.75-0.90)
KL167_17	KL39_14	structural_similarity	0.775	0.6766	0.775	3.7472	moderate (0.75-0.90)
KL4_12_wcsW	KL54_10_wckB	structural_similarity	0.7742	0.7742	0.7301	1.9972	moderate (0.75-0.90)
KL147_16	KL54_10_wckB	structural_similarity	0.7738	0.7738	0.7298	2.0103	moderate (0.75-0.90)
KL22_17	KL134_12	structural_similarity	0.7737	0.7737	0.758	3.6935	moderate (0.75-0.90)
KL137_14_wclK	KL69_15_wcuG	structural_similarity	0.7736	0.7736	0.7525	3.4121	moderate (0.75-0.90)
KL24_13_wcuG	KL62_12	structural_similarity	0.7732	0.7303	0.7732	3.5531	moderate (0.75-0.90)
KL114_15	KL30_15_wcuG	structural_similarity	0.7726	0.7726	0.6524	3.5823	moderate (0.75-0.90)
KL106_17	KL49_11_wclK	structural_similarity	0.7726	0.7726	0.7255	3.6418	moderate (0.75-0.90)
KL114_15	KL24_13_wcuG	structural_similarity	0.7724	0.7724	0.6823	3.4394	moderate (0.75-0.90)
KL22_17	KL62_12	structural_similarity	0.772	0.7295	0.772	3.6852	moderate (0.75-0.90)
KL137_14_wclK	KL4_03_wcuG	structural_similarity	0.7718	0.7505	0.7718	3.5773	moderate (0.75-0.90)
KL39_14	KL69_15_wcuG	structural_similarity	0.7718	0.7718	0.7097	3.8394	moderate (0.75-0.90)
KL143_16_wcsW	KL54_10_wckB	structural_similarity	0.7715	0.7715	0.7275	2.0536	moderate (0.75-0.90)
KL177_16	KL55_10_wcpI	structural_similarity	0.7714	0.7714	0.7493	2.5521	moderate (0.75-0.90)
KL22_17	KL49_11_wclK	structural_similarity	0.7712	0.7712	0.7261	3.5761	moderate (0.75-0.90)
KL4_03_wcuG	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7711	0.7711	0.7251	3.9737	moderate (0.75-0.90)
KL157_16	KL165_12	structural_similarity	0.7711	0.7018	0.7711	3.3621	moderate (0.75-0.90)
KL108_13	KL4_12_wcsW	structural_similarity	0.771	0.716	0.771	1.9643	moderate (0.75-0.90)
KL137_14_wclK	KL30_15_wcuG	structural_similarity	0.7708	0.7708	0.7574	3.4798	moderate (0.75-0.90)
KL39_14	KL52_15_wcpG	structural_similarity	0.7707	0.7707	0.6816	3.966	moderate (0.75-0.90)
KL106_17	KL62_12	structural_similarity	0.7705	0.7299	0.7705	3.6824	moderate (0.75-0.90)
KL177_16	KL63_08_wcsD	structural_similarity	0.7702	0.6815	0.7702	2.9443	moderate (0.75-0.90)
KL165_12	KL167_17	structural_similarity	0.7701	0.7701	0.6924	3.3809	moderate (0.75-0.90)
KL132_20_wcpG	KL165_12	structural_similarity	0.77	0.7057	0.77	4.1046	moderate (0.75-0.90)
KL106_17	KL165_12	structural_similarity	0.7697	0.7697	0.7676	3.7772	moderate (0.75-0.90)
KL108_13	KL147_16	structural_similarity	0.7697	0.7147	0.7697	1.9785	moderate (0.75-0.90)
KL1_11_wcsT	KL54_10_wckB	structural_similarity	0.7691	0.7691	0.7326	1.7753	moderate (0.75-0.90)
KL108_13	KL1_11_wcsT	structural_similarity	0.7687	0.7209	0.7687	1.7918	moderate (0.75-0.90)
KL1_11_wcsT	KL58_13_wcqU	structural_similarity	0.7687	0.7687	0.7246	1.8126	moderate (0.75-0.90)
KL137_14_wclK	KL24_13_wcuG	structural_similarity	0.7686	0.7473	0.7686	3.6425	moderate (0.75-0.90)
