name	proteinID	type	specificity	label	evidence	structure_cluster	order_index	protein_length
KL62_12	KL62_12	KLOCI	KL62	KL62	blastp,foldseek	2	45	315
PROTEIN05_GWAS_AC_K111	PROTEIN05_GWAS_AC_K111	GWAS_BEST	KL111	gwas_AT_K111	gwas_best	2	46	360
KL114_15	KL114_15	KLOCI	KL114	KL114	keyword,foldseek	2	47	292
KL142_16_wcqA	KL142_16_wcqA	KLOCI	KL142	KL142	keyword,foldseek	2	48	323
KL44_16_wcqA	KL44_16_wcqA	KLOCI	KL44	KL44	keyword,foldseek	2	49	325
KL30_15_wcuG	KL30_15_wcuG	KLOCI	KL30	KL30	keyword,foldseek	2	50	354
KL69_15_wcuG	KL69_15_wcuG	KLOCI	KL69	KL69	keyword,foldseek	2	51	358
KL24_13_wcuG	KL24_13_wcuG	KLOCI	KL24	KL24	keyword,foldseek	2	52	336
KL4_03_wcuG	KL4_03_wcuG	KLOCI	KL4	KL4	keyword,foldseek	2	53	336
KL106_17	KL106_17	KLOCI	KL106	KL106	keyword,foldseek	2	54	335
KL22_17	KL22_17	KLOCI	KL22	KL22	keyword,foldseek	2	55	336
KL177_17	KL177_17	KLOCI	KL177	KL177	keyword,foldseek	2	56	346
KL52_15_wcpG	KL52_15_wcpG	KLOCI	KL52	KL52	keyword,foldseek	2	57	373
KL175_21_wcpZ	KL175_21_wcpZ	KLOCI	KL175	KL175	keyword,foldseek	2	58	350
KL110_16_wcpZ	KL110_16_wcpZ	KLOCI	KL110	KL110	keyword,foldseek	2	59	355
KL43_15_wcpZ	KL43_15_wcpZ	KLOCI	KL43	KL43	keyword,foldseek	2	60	355
KL51_14_wcoZ	KL51_14_wcoZ	KLOCI	KL51	KL51	keyword,foldseek	2	61	352
KL49_11_wclK	KL49_11_wclK	KLOCI	KL49	KL49	foldseek	2	62	360
KL137_14_wclK	KL137_14_wclK	KLOCI	KL137	KL137	keyword,foldseek	2	63	347
KL35_16_wclK	KL35_16_wclK	KLOCI	KL35	KL35	keyword,foldseek	2	64	360
KL39_14	KL39_14	KLOCI	KL39	KL39	keyword,foldseek	2	65	325
KL165_12	KL165_12	KLOCI	KL165	KL165	keyword,foldseek	2	66	336
KL134_12	KL134_12	KLOCI	KL134	KL134	foldseek	2	67	344
KL116_17_wcpG	KL116_17_wcpG	KLOCI	KL116	KL116	keyword,foldseek	2	68	359
KL132_20_wcpG	KL132_20_wcpG	KLOCI	KL132	KL132	keyword,foldseek	2	69	371
KL160_20_wcpG	KL160_20_wcpG	KLOCI	KL160	KL160	keyword,foldseek	2	70	364
KL157_16	KL157_16	KLOCI	KL157	KL157	keyword,foldseek	2	71	373
KL167_17	KL167_17	KLOCI	KL167	KL167	keyword,foldseek	2	72	378
